REF_DATE,VALUE
1990,710926
1991,785331
1992,854699
1993,942784
1994,1012344
1995,1087895
1996,1120510
1997,1132666
1998,1155083
1999,1185091
2000,1191797
2001,1222854
2002,1244418
2003,1255903
2004,1281130
2005,1338699
2006,1368678
2007,1385381
2008,1497485
2009,1631433
2010,1750260
2011,1860807
2012,1984237
2013,2082158
2014,2136140
2015,2252736
2016,2284298
2017,2330615
2018,2418583
2019,2456607
2020,3051020
